postcode,state,latitude,longitude,localities
3764,VIC,-37.26374,144.90064,8
3765,VIC,-37.81477,145.34662,1
3766,VIC,-37.81782,145.38495,1
3767,VIC,-37.83939,145.34751,1
3770,VIC,-37.70878,145.41600,3
3775,VIC,-37.64285,145.36599,5
3777,VIC,-37.60609,145.51380,8
3778,VIC,-37.53749,145.62301,2
3779,VIC,-37.53927,145.78475,2
3781,VIC,-37.93847,145.48786,3
3782,VIC,-37.93807,145.43302,4
3783,VIC,-37.94738,145.59658,1
3785,VIC,-37.88514,145.31673,1
3786,VIC,-37.87819,145.33243,1
3787,VIC,-37.86679,145.35089,2
3788,VIC,-37.84804,145.37713,1
3789,VIC,-37.88977,145.35734,1
3791,VIC,-37.89692,145.37962,1
3792,VIC,-37.89424,145.40539,1
3793,VIC,-37.87453,145.42971,1
3795,VIC,-37.83666,145.43031,1
3796,VIC,-37.78698,145.38492,1
3797,VIC,-37.86781,145.78634,5
3799,VIC,-37.72757,145.81851,7
3800,VIC,-37.91054,145.13494,1
3802,VIC,-37.97176,145.25560,1
3803,VIC,-38.00944,145.26552,1
3804,VIC,-37.98006,145.32599,2
3805,VIC,-38.03703,145.30420,3
3806,VIC,-38.02502,145.34949,2
3807,VIC,-38.04832,145.37163,2
3808,VIC,-38.00252,145.42327,2
3809,VIC,-38.06909,145.40689,2
3810,VIC,-38.04658,145.47251,4
3812,VIC,-38.07014,145.56530,3
3813,VIC,-38.06425,145.63434,2
3814,VIC,-38.10718,145.66911,4
3815,VIC,-38.01378,145.72631,4
3816,VIC,-38.04354,145.78799,4
3818,VIC,-38.09629,145.86734,9
3820,VIC,-38.20748,145.92221,3
3821,VIC,-37.94499,145.94054,20
3822,VIC,-38.19438,145.98990,3
3823,VIC,-38.21038,146.06566,3
3824,VIC,-38.24565,146.16397,6
3825,VIC,-37.96467,146.35272,31
3831,VIC,-37.99326,146.01314,3
3832,VIC,-37.91994,145.94521,3
3833,VIC,-37.83951,146.03895,12
3835,VIC,-38.29064,146.17527,1
3840,VIC,-38.24522,146.42446,11
3841,VIC,-37.58320,147.46300,1
3842,VIC,-38.31545,146.41436,1
3844,VIC,-38.33306,146.62334,17
3847,VIC,-38.19809,146.78343,5
3850,VIC,-38.22419,147.10618,5
3851,VIC,-38.04846,147.08497,27
3852,VIC,-38.10569,147.13672,3
3853,VIC,-38.09557,146.05995,1
3854,VIC,-38.12413,146.59688,3
3856,VIC,-38.06391,146.67221,1
3857,VIC,-38.01862,146.69489,1
3858,VIC,-37.66158,146.64366,21
3859,VIC,-37.88614,146.84826,5
3860,VIC,-37.60910,146.86826,16
3862,VIC,-37.58885,147.21183,18
3864,VIC,-37.86088,147.34151,3
3865,VIC,-37.79674,147.45595,1
3869,VIC,-38.36469,146.35984,3
3870,VIC,-38.44285,146.33077,7
3871,VIC,-38.42017,146.16073,10
3873,VIC,-38.29827,146.70878,1
3874,VIC,-38.51444,146.83625,6
3875,VIC,-37.79565,147.63201,35
3878,VIC,-37.89854,147.68012,1
3880,VIC,-37.91473,147.72739,4
3882,VIC,-37.81202,147.76439,1
3885,VIC,-37.27559,148.11564,17
3886,VIC,-37.77098,148.42685,1
3887,VIC,-37.75789,148.11664,3
3888,VIC,-37.36692,148.65953,26
3889,VIC,-37.61426,148.86656,8
3890,VIC,-37.56649,149.21722,8
3891,VIC,-37.56768,149.53891,7
3892,VIC,-37.56377,149.90987,1
3893,VIC,-37.49535,147.86607,3
3895,VIC,-37.38468,147.89333,5
3896,VIC,-37.26467,147.70796,5
3898,VIC,-37.05701,147.47641,13
3900,VIC,-36.88053,147.82614,3
3902,VIC,-37.79704,147.81489,2
3903,VIC,-37.81130,147.86753,1
3904,VIC,-37.88104,147.83937,1
3909,VIC,-37.82192,147.97024,8
3910,VIC,-38.15637,145.19833,1
3911,VIC,-38.19691,145.16956,2
3912,VIC,-38.21799,145.22737,2
3913,VIC,-38.26227,145.16643,1
3915,VIC,-38.30581,145.13662,2
3916,VIC,-38.41520,145.05059,3
3918,VIC,-38.33987,145.15555,1
3919,VIC,-38.35233,145.19978,1
3920,VIC,-38.38752,145.19304,2
3921,VIC,-38.41823,145.36763,3
3922,VIC,-38.48218,145.23197,9
3923,VIC,-38.46555,145.29363,1
3925,VIC,-38.52821,145.37968,4
3926,VIC,-38.35523,145.09450,4
3927,VIC,-38.38337,145.15327,1
3928,VIC,-38.40783,144.97513,1
3929,VIC,-38.46097,144.97667,1
3930,VIC,-38.19502,145.09374,2
3931,VIC,-38.23004,145.04950,1
3933,VIC,-38.26117,145.09699,1
3934,VIC,-38.27830,145.03160,1
3936,VIC,-38.32645,145.00763,3
3937,VIC,-38.37369,145.01994,2
3938,VIC,-38.35432,144.93183,1
3939,VIC,-38.42776,144.90041,5
3940,VIC,-38.37850,144.87426,2
3941,VIC,-38.39608,144.82720,3
3942,VIC,-38.36787,144.76830,1
3943,VIC,-38.34553,144.73910,1
3944,VIC,-38.32187,144.69271,1
3945,VIC,-38.38158,145.69705,5
3946,VIC,-38.44815,145.72354,1
3950,VIC,-38.43522,145.81295,5
3951,VIC,-38.47372,145.79842,8
3953,VIC,-38.45646,145.99686,15
3954,VIC,-38.55038,145.93797,1
3956,VIC,-38.64153,145.95283,11
3957,VIC,-38.58930,146.12672,2
3958,VIC,-38.67384,145.98706,2
3959,VIC,-38.73464,146.06653,5
3960,VIC,-39.14076,146.36041,14
3962,VIC,-38.59472,146.36394,8
3964,VIC,-38.68512,146.27880,1
3965,VIC,-38.69344,146.47213,1
3966,VIC,-38.63057,146.43658,3
3967,VIC,-38.64756,146.50793,1
3971,VIC,-38.63707,146.80245,22
3975,VIC,-38.05354,145.23111,2
3976,VIC,-38.04400,145.26430,1
3977,VIC,-38.13177,145.26392,12
3978,VIC,-38.13501,145.38461,3
3979,VIC,-38.44818,145.59128,4
3980,VIC,-38.20445,145.35694,3
3981,VIC,-38.20730,145.57500,7
3984,VIC,-38.31265,145.56398,13
3987,VIC,-38.30905,145.68914,1
3988,VIC,-38.31345,145.81186,4
3989,VIC,-31.82510,144.96394,1
3990,VIC,-38.45540,145.50128,1
3991,VIC,-38.48304,145.46678,1
3992,VIC,-38.56914,145.53431,4
3995,VIC,-38.57807,145.63071,14
3996,VIC,-38.62956,145.74561,2
4000,QLD,-27.46845,153.02300,10
4001,QLD,-27.60348,152.82314,4
4002,QLD,-27.46930,153.02700,3
4003,QLD,-24.87243,152.34846,1
4004,QLD,-24.04527,149.31659,1
4005,QLD,-27.46310,153.04675,2
4006,QLD,-27.36618,153.17524,8
4007,QLD,-27.43609,153.06191,6
4008,QLD,-27.39755,153.13650,5
4009,QLD,-27.40575,153.10525,2
4010,QLD,-27.43324,153.04354,4
4011,QLD,-27.41948,153.05975,3
4012,QLD,-27.39934,153.05355,4
4013,QLD,-27.39706,153.07498,2
4014,QLD,-27.37395,153.08478,6
4017,QLD,-27.31807,153.04734,9
4018,QLD,-27.34907,153.03180,2
4019,QLD,-27.24834,153.08850,8
4020,QLD,-27.21344,153.10230,4
4021,QLD,-27.22010,153.07529,1
4022,QLD,-27.21189,153.04641,1
4025,QLD,-27.15988,153.39565,6
4029,QLD,-27.44934,153.02644,1
4030,QLD,-27.42687,153.02968,5
4031,QLD,-27.40854,153.03070,3
4032,QLD,-27.38561,153.01945,6
4034,QLD,-27.35471,153.04005,5
4035,QLD,-27.35602,152.97908,3
4036,QLD,-27.31402,153.00873,1
4037,QLD,-27.34113,152.93652,1
4051,QLD,-27.42751,153.00030,7
4053,QLD,-27.39957,152.98725,12
4054,QLD,-27.40982,152.95601,3
4055,QLD,-27.39368,152.92424,6
4059,QLD,-27.45207,153.00889,7
4060,QLD,-27.44433,152.98454,5
4061,QLD,-27.45085,152.94426,1
4064,QLD,-27.46468,152.99904,5
4065,QLD,-27.46250,152.97599,4
4066,QLD,-27.47987,152.96415,7
4067,QLD,-27.50052,153.00504,3
4068,QLD,-27.50691,152.97693,5
4069,QLD,-27.50278,152.89891,11
4070,QLD,-27.55994,152.87114,4
4072,QLD,-27.54896,152.33009,1
4073,QLD,-27.54918,152.95138,2
4074,QLD,-27.55408,152.92152,8
4075,QLD,-27.55213,152.97562,5
4076,QLD,-27.58456,152.92107,3
4077,QLD,-27.60555,152.96782,10
4078,QLD,-27.61265,152.95058,2
4101,QLD,-27.48425,153.00966,7
4102,QLD,-27.49546,153.03280,4
4103,QLD,-27.51218,153.02877,5
4104,QLD,-27.51576,153.01154,2
4105,QLD,-27.53444,153.01889,5
4106,QLD,-27.55214,153.00462,3
4107,QLD,-27.55205,153.03064,2
4108,QLD,-24.94761,150.60480,3
4109,QLD,-27.57925,153.05745,7
4110,QLD,-26.62392,152.10509,8
4111,QLD,-27.55064,153.05223,2
4112,QLD,-27.61113,153.08784,1
4113,QLD,-27.59072,153.07793,3
4114,QLD,-27.65281,153.11076,7
4115,QLD,-27.64384,153.02250,2
4116,QLD,-27.63399,153.05079,3
4117,QLD,-27.64469,153.08304,2
4118,QLD,-27.67381,153.02732,7
4119,QLD,-27.61150,153.10977,1
4120,QLD,-27.50871,153.04422,3
4121,QLD,-27.52697,153.05395,7
4122,QLD,-27.54332,153.08816,8
4123,QLD,-27.58353,153.11615,3
4124,QLD,-27.71931,152.95950,5
4125,QLD,-27.73043,153.04108,3
4127,QLD,-27.62947,153.14203,6
4128,QLD,-27.65240,153.17421,4
4129,QLD,-27.68152,153.18682,4
4130,QLD,-27.66924,153.24333,2
4131,QLD,-27.66991,153.13607,2
4132,QLD,-27.68106,153.08440,4
4133,QLD,-27.72384,153.10266,4
4151,QLD,-27.50081,153.05861,3
4152,QLD,-27.50135,153.09681,6
4153,QLD,-27.51003,153.13143,2
4154,QLD,-27.49069,153.15873,3
4155,QLD,-27.51810,153.15645,1
4156,QLD,-27.55886,153.15418,2
4157,QLD,-27.56818,153.20710,5
4158,QLD,-27.48769,153.19980,1
4159,QLD,-27.50229,153.20962,1
4160,QLD,-27.50641,153.24331,3
4161,QLD,-27.53341,153.22686,1
4163,QLD,-27.53522,153.26571,2
4164,QLD,-27.56996,153.26083,2
4165,QLD,-27.62398,153.26380,6
4169,QLD,-27.48418,153.04098,3
4170,QLD,-27.47078,153.07423,5
4171,QLD,-23.28785,150.39952,4
4172,QLD,-27.45877,153.10333,1
